Key,Status,Applied On,Notes,Bucket,Title,Employer,Location,Drive time,Requirement evidence,Posted,First seen,Last seen,URL
PACS Group::JR174762,unapplied,,,No experience required,Registered Nurse (RN) - PRN,PACS Group,Hayward,<30,"Experience in skilled nursing, post-acute care, or long-term care is preferred but not required.",2026-07-09,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/St-Francis-Healthcare-Center/Registered-Nurse--RN----PRN_JR174762
Sutter Health::R-137822,closed,,,No experience required,"Staff Nurse II, Pre-Registration & Learning Center",Sutter Health,San Francisco,<30,Acute Care Previous,2026-08-07,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Pre-Registration---Learning-Center_R-137822-1
El Camino Health::R00017622,closed,,,Requirements unclear,Clinical Nurse II - FT - Days - Imaging RN Support @ MV,El Camino Health,"Mountain View, CA",30-60,one year of age or greater,2026-08-11,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://ech.wd5.myworkdayjobs.com/ech/job/Mountain-View-CA/Clinical-Nurse-II---FT---Days---Imaging-RN-Support---MV_R00017622
Sutter Health::R-137852,unapplied,,,Requirements unclear,"Staff Nurse II, Emergency Services",Sutter Health,Antioch,30-60,2 years of recent relevant experience,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Antioch/Staff-Nurse-II--Emergency-Services_R-137852-1
El Camino Health::R00017692,closed,,,Requirements unclear,Clinical Nurse II - PD - Eves - Emergency Room @LG,El Camino Health,"Los Gatos, CA",60-90,one year of age or greater,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://ech.wd5.myworkdayjobs.com/ech/job/Los-Gatos-CA/Clinical-Nurse-II---PD---Eves---Emergency-Room--LG_R00017692
El Camino Health::R00017691,closed,,,Requirements unclear,Clinical Nurse II - 0.9 - Nights - Emergency Room @ LG,El Camino Health,"Los Gatos, CA",60-90,one year of age or greater,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://ech.wd5.myworkdayjobs.com/ech/job/Los-Gatos-CA/Clinical-Nurse-II---09---Nights---Emergency-Room---LG_R00017691
El Camino Health::R00017690,closed,,,Requirements unclear,Clinical Nurse II - 0.6 - Days - Emergency Room @ LG,El Camino Health,"Los Gatos, CA",60-90,one year of age or greater,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://ech.wd5.myworkdayjobs.com/ech/job/Los-Gatos-CA/Clinical-Nurse-II---06---Days---Emergency-Room---LG_R00017690-1
El Camino Health::R00017683,closed,,,Requirements unclear,Clinical Nurse II - 0.9 - Nights - Emergency @ LG,El Camino Health,"Los Gatos, CA",60-90,one year of age or greater,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://ech.wd5.myworkdayjobs.com/ech/job/Los-Gatos-CA/Clinical-Nurse-II---09---Nights---Emergency---LG_R00017683
El Camino Health::R00017335,closed,,,Requirements unclear,Clinical Nurse II - 0.6 - Days - Emergency Room @ LG,El Camino Health,"Los Gatos, CA",60-90,one year of age or greater,2026-08-27,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://ech.wd5.myworkdayjobs.com/ech/job/Los-Gatos-CA/Clinical-Nurse-II---06---Days---Emergency-Room---LG_R00017335
PACS Group::JR180581,unapplied,,,Requirements unclear,Registered Nurse (RN) NOC Shift,PACS Group,Sacramento,60-90,"Registered Nurse (RN) - NOC Shift Arden Park Post Acute 📍 Sacramento, CA 🌙 NOC / Overnight Shift 💲 $48.00 - $55.00 per hour 🏥 Skilled Nursing & Rehabilitation Join Our NO",2026-09-01,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Arden-Park-Post-Acute/Registered-Nurse--RN--NOC-Shift_JR180581
PACS Group::JR179616,unapplied,,,Requirements unclear,Registered Nurse (RN),PACS Group,Napa,60-90,"Minimum of 2 years of nursing experience , preferably in a Skilled Nursing Facility (SNF), Post-Ac",2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Napa-Valley-Care-Center/Registered-Nurse--RN-_JR179616
PACS Group::JR174570,unapplied,,,Requirements unclear,RN NOC Shift,PACS Group,Petaluma,60-90,1 year of prior experience preferred Prior experience in a Skilled Nursing Facility pr,2026-07-08,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Ridgeway-Post-Acute/RN-NOC-Shift_JR174570
Sutter Health::R-138565,closed,,,Requirements unclear,"Registered Nurse II, Emergency Department",Sutter Health,Modesto,60-90,2-year RN experience in an Acute Care Facility SKILLS AND KNOWLEDGE Demonstrated gener,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Emergency-Department_R-138565
PACS Group::JR179699,unapplied,,,Requirements unclear,Part-Time PM Shift Registered Nurse (RN),PACS Group,Placerville,90-120,"2+ years of nursing experience , preferably in skilled nursing or long-term care",2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/The-Pines-at-Placerville-Healthcare-Center/Part-Time-PM-Shift-Registered-Nurse--RN-_JR179699
PACS Group::JR179694,unapplied,,,Requirements unclear,Part-Time NOC Shift Registered Nurse (RN),PACS Group,Placerville,90-120,"2+ years of nursing experience , preferably in skilled nursing or long-term care",2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/The-Pines-at-Placerville-Healthcare-Center/Part-Time-NOC-Shift-Registered-Nurse--RN-_JR179694
PACS Group::JR174851,unapplied,,,Requirements unclear,Full-Time RN | PM Shift,PACS Group,Auburn,90-120,"Provide RN nursing services in a skilled nursing unit or facility; may include supervision of nurse assistants, medication passes and treatments We are an equal opportuni",2026-07-09,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Westview-Healthcare-Center/RN_JR174851
PACS Group::JR155609,unapplied,,,Requirements unclear,RN On Call,PACS Group,Placerville,90-120,Minimum 2 years of nursing experience,2025-12-04,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Western-Slope-Health-Center/RN-On-Call_JR155609
Sutter Health::R-138783,unapplied,,,Requirements unclear,"Staff Nurse II, Emergency Services",Sutter Health,Berkeley,<30,Minimum one year of current experience in area of specialty Required LICENSURES AND CERTIFICATIO,2026-08-28,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Berkeley/Staff-Nurse-II--Emergency-Services_R-138783-1
Sutter Health::R-138676,unapplied,,,Requirements unclear,"Staff Nurse II, Neuro ICU",Sutter Health,Castro Valley,<30,Minimum two year current experience in area of specialty Required LICENSURES AND CERTIFICATIONS,2026-08-28,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Neuro-ICU_R-138676-1
Sutter Health::R-136008,unapplied,,,Requirements unclear,"Staff Nurse II, Perioperative",Sutter Health,Castro Valley,<30,Minimum two year current experience in area of specialty Required LICENSURES AND CERTIFICATIONS,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Perioperative_R-136008-1
Sutter Health::R-137549,unapplied,,,Requirements unclear,"Staff Nurse II, Medical Telemetry",Sutter Health,Castro Valley,<30,Minimum one year current experience in Med/Tele Required LICENSURES AND CERTIFICATIONS Registere,2026-08-14,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Medical-Telemetry_R-137549-1
Sutter Health::R-135777,unapplied,,,Requirements unclear,"Staff Nurse II, ICU/CPU",Sutter Health,Oakland,<30,Minimum one year of current experience in area of specialty is Required,2026-08-13,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/Staff-Nurse-II--ICU-CPU_R-135777-1
Sutter Health::R-137230,unapplied,,,Requirements unclear,"Staff Nurse II, Perioperative",Sutter Health,Castro Valley,<30,Minimum two year current experience in area of specialty Required LICENSURES AND CERTIFICATIONS,2026-08-12,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Perioperative_R-137230-1
Sutter Health::R-136266,unapplied,,,Requirements unclear,"Staff Nurse II, Operating Room",Sutter Health,Castro Valley,<30,Minimum two year current experience in area of specialty Required LICENSURES AND CERTIFICATIONS,2026-08-10,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Operating-Room_R-136266-1
Sutter Health::R-133919,unapplied,,,Requirements unclear,"Staff Nurse II, ICU/CPU",Sutter Health,Oakland,<30,Minimum one year of current experience in area of specialty is Required,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/Staff-Nurse-II--ICU-CPU_R-133919-1
Sutter Health::R-136311,unapplied,,,Requirements unclear,"Staff Nurse II, Neuro ICU",Sutter Health,Castro Valley,<30,Minimum two year current experience in area of specialty Required LICENSURES AND CERTIFICATIONS,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Neuro-ICU_R-136311-1
Sutter Health::R-136310,unapplied,,,Requirements unclear,"Staff Nurse II, Neuro ICU",Sutter Health,Castro Valley,<30,Minimum two year current experience in area of specialty Required LICENSURES AND CERTIFICATIONS,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Neuro-ICU_R-136310-1
Sutter Health::R-136551,unapplied,,,Requirements unclear,"Staff Nurse II, Emergency Services FLEX Position",Sutter Health,Oakland,<30,Minimum one year of current experience in area of specialty Required LICENSURES AND CERTIFICATIO,2026-08-03,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/Staff-Nurse-II--Emergency-Services-FLEX-Position_R-136551-1
Sutter Health::R-135846,unapplied,,,Requirements unclear,"Staff Nurse II, ICU/CPU",Sutter Health,Oakland,<30,Minimum one year of current experience in area of specialty is Required,2026-07-27,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/Staff-Nurse-II--ICU-CPU_R-135846-1
Sutter Health::R-135845,unapplied,,,Requirements unclear,"Staff Nurse II, ICU/CPU",Sutter Health,Oakland,<30,Minimum one year of current experience in area of specialty is Required,2026-07-27,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/Staff-Nurse-II--ICU-CPU_R-135845-1
